,country,year,d_civil_war,preds,preds_proba
626,Central African Republic,2020,0,0,0.0011318733145939026
627,Central African Republic,2021,0,0,0.2091233668958321
628,Central African Republic,2022,0,0,0.14705363565098473
629,Central African Republic,2023,0,0,0.14455836703071615
630,Chad,2017,0,0,0.0006121212121212121
631,Chad,2018,0,0,0.00044545454545454543
632,Chad,2019,0,0,0.0026144771894771896
633,Chad,2020,0,0,0.03788087183928905
634,Chad,2021,0,0,0.05005526900000595
635,Chad,2022,0,0,0.008406155108651236
636,Chad,2023,0,0,0.008595242410238537
637,Congo,2017,0,0,0.0
638,Congo,2018,0,0,0.023312226907079844
639,Congo,2019,0,0,6.666666666666667e-05
640,Congo,2020,0,0,0.0010958072972778853
641,Congo,2021,0,0,0.2917709481694775
642,Congo,2022,0,0,0.13672536037234195
643,Congo,2023,0,0,0.1403337691204566
644,DR Congo (Zaire),2017,1,0,0.14499275302440937
645,DR Congo (Zaire),2018,0,0,0.4573619284117161
646,DR Congo (Zaire),2019,0,0,0.05248106111724549
647,DR Congo (Zaire),2020,1,0,0.10696620724047182
648,DR Congo (Zaire),2021,1,1,0.7361565608153471
649,DR Congo (Zaire),2022,1,1,0.7157139994143301
650,DR Congo (Zaire),2023,0,1,0.7231670422048727
651,Uganda,2017,0,0,8.823529411764706e-05
652,Uganda,2018,0,0,0.000648169191919192
653,Uganda,2019,0,0,0.0002913632119514472
654,Uganda,2020,0,0,0.000425
655,Uganda,2021,0,0,0.0021644771894771893
656,Uganda,2022,0,0,0.037575863163324515
657,Uganda,2023,0,0,0.054474019693756655
658,Kenya,2017,0,0,5e-05
