,country,year,d_civil_conflict,preds,preds_proba
362,Greece,2022,0,0,0.004178980999189023
363,Greece,2023,0,0,0.004178980999189023
364,Cyprus,2017,0,0,0.0003714710252600297
365,Cyprus,2018,0,0,0.0018573551263001485
366,Cyprus,2019,0,0,0.001114413075780089
367,Cyprus,2020,0,0,0.001114413075780089
368,Cyprus,2021,0,0,0.0020430906389301636
369,Cyprus,2022,0,0,0.001114413075780089
370,Cyprus,2023,0,0,0.0
371,Bulgaria,2017,0,0,0.00989538775571465
372,Bulgaria,2018,0,0,0.019906237068198437
373,Bulgaria,2019,0,0,0.021023008690170646
374,Bulgaria,2020,0,0,0.01976826211595899
375,Bulgaria,2021,0,0,0.027692977321506294
376,Bulgaria,2022,0,0,0.027381542017500413
377,Bulgaria,2023,0,0,0.028124484068020473
378,Moldova,2017,0,0,0.106805878649295
379,Moldova,2018,0,0,0.11377873903968883
380,Moldova,2019,0,0,0.11853356816301722
381,Moldova,2020,0,0,0.1210320850003156
382,Moldova,2021,0,0,0.09628029118331767
383,Moldova,2022,0,0,0.06329890901917179
384,Moldova,2023,0,0,0.0554420721133007
385,Romania,2017,0,0,0.09528544176739268
386,Romania,2018,0,0,0.10827631419362917
387,Romania,2019,0,0,0.12321011738894795
388,Romania,2020,0,0,0.12354708024448438
389,Romania,2021,0,0,0.11480269189385532
390,Romania,2022,0,0,0.10997533747511905
391,Romania,2023,0,0,0.11117900008294213
392,Russia (Soviet Union),2017,1,1,0.8451858145350848
393,Russia (Soviet Union),2018,1,1,0.8254101592839463
394,Russia (Soviet Union),2019,1,1,0.7923582763806519
395,Russia (Soviet Union),2020,1,1,0.8131323102501321
396,Russia (Soviet Union),2021,0,1,0.8380681656280379
397,Russia (Soviet Union),2022,0,1,0.8616951165209624
398,Russia (Soviet Union),2023,1,1,0.8554337948807405
399,Estonia,2017,0,0,0.0014505059081582111
400,Estonia,2018,0,0,0.005294754774695339
401,Estonia,2019,0,0,0.015178135386159159
402,Estonia,2020,0,0,0.031450091925574845
403,Estonia,2021,0,0,0.013741780755153712
404,Estonia,2022,0,0,0.001962129005219644
405,Estonia,2023,0,0,0.0014858841010401188
406,Latvia,2017,0,0,0.00415285556444546
407,Latvia,2018,0,0,0.009928184742449228
408,Latvia,2019,0,0,0.006569705678175219
409,Latvia,2020,0,0,0.006866882498383242
410,Latvia,2021,0,0,0.0022402560292604868
411,Latvia,2022,0,0,0.001981178801386825
412,Latvia,2023,0,0,0.001981178801386825
413,Lithuania,2017,0,0,0.0003549612019151395
414,Lithuania,2018,0,0,0.0003549612019151395
415,Lithuania,2019,0,0,0.0020046735499930153
416,Lithuania,2020,0,0,0.0007429420505200594
417,Lithuania,2021,0,0,0.0007429420505200594
418,Lithuania,2022,0,0,0.0034546805349182767
419,Lithuania,2023,0,0,0.0010896483407627539
420,Ukraine,2017,1,1,0.5814912139206342
421,Ukraine,2018,1,1,0.5800053298195942
422,Ukraine,2019,1,1,0.5773519653534511
423,Ukraine,2020,1,1,0.5793331441548378
424,Ukraine,2021,1,1,0.5438841722088378
425,Ukraine,2022,1,1,0.5781467830502005
426,Ukraine,2023,0,1,0.545830073838989
427,Belarus,2017,0,0,0.011811894754819321
428,Belarus,2018,0,0,0.012151525406485635
429,Belarus,2019,0,0,0.012151525406485635
