,country,year,d_terror,preds,preds_proba
323,Guinea,2020,0,0,0.23073793339520082
324,Burkina Faso,2017,1,0,0.4719822713686868
325,Burkina Faso,2018,1,0,0.46189397593747117
326,Burkina Faso,2019,1,0,0.4476589063378361
327,Burkina Faso,2020,1,0,0.44709540887168375
328,Liberia,2017,0,0,0.06009301444158672
329,Liberia,2018,0,0,0.06174983797576187
330,Liberia,2019,0,0,0.062923675125692
331,Liberia,2020,0,0,0.06214933884250615
332,Sierra Leone,2017,0,0,0.18841188499646475
333,Sierra Leone,2018,0,0,0.18487343901593128
334,Sierra Leone,2019,0,0,0.18058907543139852
335,Sierra Leone,2020,0,0,0.18620371066602334
336,Ghana,2017,0,0,0.027953494727592412
337,Ghana,2018,1,0,0.02994644082410074
338,Ghana,2019,1,0,0.034047374470823726
339,Ghana,2020,1,0,0.03780699980124551
340,Togo,2017,0,0,0.04022970802164498
341,Togo,2018,0,0,0.027477947439452664
342,Togo,2019,0,0,0.02971951118544119
343,Togo,2020,0,0,0.030721164399483785
344,Cameroon,2017,1,1,0.6064671385813287
345,Cameroon,2018,1,1,0.5951313995907223
346,Cameroon,2019,1,1,0.5996901029326115
347,Cameroon,2020,1,1,0.5839224136923908
348,Nigeria,2017,1,1,0.9718571561829439
349,Nigeria,2018,1,1,0.9667118590022484
350,Nigeria,2019,1,1,0.9584768540858276
351,Nigeria,2020,1,1,0.964007827537155
352,Gabon,2017,0,0,0.019376949062004076
353,Gabon,2018,0,0,0.019914809871173694
354,Gabon,2019,1,0,0.020575661853637222
355,Gabon,2020,0,0,0.021662670511334425
356,Central African Republic,2017,1,1,0.7599230619296291
357,Central African Republic,2018,1,1,0.6458769530862223
358,Central African Republic,2019,1,1,0.6376163483719476
359,Central African Republic,2020,1,1,0.6365968356820809
360,Chad,2017,1,1,0.6575232152988616
361,Chad,2018,1,1,0.6559496045438351
362,Chad,2019,1,1,0.6526954963118508
363,Chad,2020,1,1,0.6549684323237246
364,Congo,2017,0,0,0.3031830347896118
365,Congo,2018,0,0,0.3104775175255606
366,Congo,2019,0,0,0.3279098394149585
367,Congo,2020,0,0,0.3299793959646036
368,DR Congo (Zaire),2017,1,1,0.9348040196360945
369,DR Congo (Zaire),2018,1,1,0.9355353024050531
370,DR Congo (Zaire),2019,1,1,0.9149081829260984
371,DR Congo (Zaire),2020,1,1,0.8990698092792914
372,Uganda,2017,1,1,0.7493568681986457
373,Uganda,2018,1,1,0.7466592265648581
374,Uganda,2019,1,1,0.7514552798656413
375,Uganda,2020,0,1,0.7422660533663751
376,Kenya,2017,1,1,0.9207001570041352
377,Kenya,2018,1,1,0.9233578573938453
378,Kenya,2019,1,1,0.9264845766159883
379,Kenya,2020,1,1,0.9304120679325693
380,Tanzania,2017,1,1,0.5904025949327548
381,Tanzania,2018,1,0,0.4991710265093994
382,Tanzania,2019,1,1,0.5689451027638216
383,Tanzania,2020,1,1,0.5153174637375786
384,Burundi,2017,1,1,0.8023012137088897
385,Burundi,2018,1,1,0.7946592227879297
386,Burundi,2019,1,1,0.7958895223397456
387,Burundi,2020,1,1,0.7661214720517838
388,Rwanda,2017,1,0,0.45172069106564167
389,Rwanda,2018,1,0,0.49587845211962306
390,Rwanda,2019,1,0,0.4690757957562724
391,Rwanda,2020,0,0,0.4814332514765602
392,Somalia,2017,1,1,0.943801884704618
393,Somalia,2018,1,1,0.9808418491995299
394,Somalia,2019,1,1,0.9395579692051718
395,Somalia,2020,1,1,0.9251948278625076
396,Djibouti,2017,0,0,0.10884443518312188
397,Djibouti,2018,0,0,0.08614359353869616
398,Djibouti,2019,0,0,0.09222810330130325
399,Djibouti,2020,0,0,0.09611712880770187
400,Ethiopia,2017,1,1,0.9689915445826244
401,Ethiopia,2018,1,1,0.9576007645085972
402,Ethiopia,2019,1,1,0.9479868685886287
403,Ethiopia,2020,1,1,0.9607187885775674
404,Eritrea,2017,0,0,0.3598390953518241
405,Eritrea,2018,0,0,0.3117937480433977
406,Eritrea,2019,0,0,0.30951647148514777
407,Eritrea,2020,0,0,0.20468681304029795
408,Angola,2017,1,0,0.219389435241428
409,Angola,2018,0,0,0.22844075756708665
410,Angola,2019,1,0,0.3397343492628088
411,Angola,2020,1,0,0.2496786810787192
412,Mozambique,2017,1,1,0.7065623452649844
413,Mozambique,2018,1,1,0.6957024845710529
414,Mozambique,2019,1,1,0.7033214643776529
415,Mozambique,2020,1,1,0.7018929887235135
416,Zambia,2017,0,0,0.05724196856117261
417,Zambia,2018,0,0,0.06378291943407807
418,Zambia,2019,0,0,0.0878668354676819
419,Zambia,2020,0,0,0.05939599719894499
420,Zimbabwe,2017,0,0,0.10912893775841283
421,Zimbabwe,2018,1,0,0.15227245622034746
422,Zimbabwe,2019,0,0,0.16899377379360545
423,Zimbabwe,2020,0,0,0.2216105488965022
424,Malawi,2017,0,0,0.06726002162857686
425,Malawi,2018,0,0,0.07721570877376661
