,country,year,d_protest,preds,preds_proba
436,Ivory Coast,2021,1,0,0.3463203463203463
437,Ivory Coast,2022,1,0,0.341991341991342
438,Ivory Coast,2023,0,0,0.3463203463203463
439,Jamaica,2018,0,0,0.3593073593073593
440,Jamaica,2019,0,0,0.36796536796536794
441,Jamaica,2020,0,0,0.4458874458874459
442,Jamaica,2021,1,1,0.5108225108225108
443,Jamaica,2022,1,1,0.5324675324675324
444,Jamaica,2023,1,1,0.5670995670995671
445,Japan,2018,1,1,0.7229437229437229
446,Japan,2019,1,1,0.7316017316017316
447,Japan,2020,1,1,0.7359307359307359
448,Japan,2021,1,1,0.7316017316017316
449,Japan,2022,1,1,0.7316017316017316
450,Japan,2023,1,1,0.7229437229437229
451,Jordan,2017,1,1,0.8051948051948052
452,Jordan,2018,1,1,0.7965367965367965
453,Jordan,2019,1,1,0.8181818181818182
454,Jordan,2020,1,1,0.8441558441558441
455,Jordan,2021,1,1,0.8398268398268398
456,Jordan,2022,1,1,0.8484848484848485
457,Jordan,2023,1,1,0.8484848484848485
458,Kazakhstan,2018,1,1,0.7965367965367965
459,Kazakhstan,2019,1,1,0.8008658008658008
460,Kazakhstan,2020,1,1,0.8008658008658008
461,Kazakhstan,2021,1,1,0.8008658008658008
462,Kazakhstan,2022,1,1,0.8095238095238095
463,Kazakhstan,2023,1,1,0.8051948051948052
464,Kenya,2017,1,1,0.9523809523809523
465,Kenya,2018,1,1,0.8484848484848485
466,Kenya,2019,1,1,0.8095238095238095
467,Kenya,2020,1,1,0.7705627705627706
468,Kenya,2021,1,1,0.7575757575757576
469,Kenya,2022,1,1,0.7705627705627706
470,Kenya,2023,1,1,0.7835497835497836
471,Kuwait,2017,0,0,0.4155844155844156
472,Kuwait,2018,0,0,0.45021645021645024
473,Kuwait,2019,0,0,0.4588744588744589
474,Kuwait,2020,0,0,0.49783549783549785
475,Kuwait,2021,0,0,0.48917748917748916
476,Kuwait,2022,0,1,0.5238095238095238
477,Kuwait,2023,0,1,0.5194805194805194
478,Kyrgyzstan,2018,1,1,0.5584415584415584
479,Kyrgyzstan,2019,1,1,0.6017316017316018
480,Kyrgyzstan,2020,1,1,0.6060606060606061
481,Kyrgyzstan,2021,1,1,0.7186147186147186
482,Kyrgyzstan,2022,1,1,0.7229437229437229
483,Kyrgyzstan,2023,1,1,0.7316017316017316
484,Laos,2017,0,0,0.04329004329004329
485,Laos,2018,0,0,0.05627705627705628
486,Laos,2019,0,0,0.08658008658008658
487,Laos,2020,0,0,0.1471861471861472
488,Laos,2021,0,0,0.20346320346320346
489,Laos,2022,0,0,0.329004329004329
490,Laos,2023,0,0,0.3852813852813853
491,Latvia,2020,1,1,0.6060606060606061
492,Latvia,2021,1,1,0.6190476190476191
493,Latvia,2022,1,1,0.6233766233766234
494,Latvia,2023,1,1,0.6277056277056277
495,Lebanon,2017,1,1,0.8787878787878788
496,Lebanon,2018,1,1,0.8874458874458875
497,Lebanon,2019,1,1,0.7922077922077922
498,Lebanon,2020,1,1,0.70995670995671
499,Lebanon,2021,1,1,0.696969696969697
500,Lebanon,2022,1,1,0.6926406926406926
501,Lebanon,2023,1,1,0.696969696969697
502,Lesotho,2017,0,0,0.06493506493506493
503,Lesotho,2018,0,0,0.09090909090909091
504,Lesotho,2019,0,0,0.1038961038961039
505,Lesotho,2020,0,0,0.11688311688311688
506,Lesotho,2021,0,0,0.14285714285714285
507,Lesotho,2022,0,0,0.16017316017316016
508,Lesotho,2023,0,0,0.15151515151515152
509,Liberia,2017,0,0,0.19480519480519481
510,Liberia,2018,0,0,0.1645021645021645
511,Liberia,2019,1,0,0.1471861471861472
512,Liberia,2020,1,0,0.11688311688311688
