,country,year,d_terror,preds_proba
494,Iraq,2019,1,0.9040205089696725
495,Iraq,2020,1,0.9058025259025055
496,Egypt,2017,1,0.8112604768054963
497,Egypt,2018,1,0.8048224966135478
498,Egypt,2019,1,0.7901976369669763
499,Egypt,2020,1,0.7747579579964832
500,Syria,2017,1,0.8113553423994967
501,Syria,2018,1,0.8020530847782651
502,Syria,2019,1,0.7708663529464883
503,Syria,2020,1,0.7762627183591245
504,Lebanon,2017,1,0.9118194618656591
505,Lebanon,2018,1,0.9126429591708285
506,Lebanon,2019,1,0.8951972902227863
507,Lebanon,2020,1,0.8644033144805314
508,Jordan,2017,1,0.6965796656549046
509,Jordan,2018,1,0.6885197944636751
510,Jordan,2019,1,0.6617337379589298
511,Jordan,2020,0,0.6695408155887537
512,Israel,2017,1,0.9426370540791956
513,Israel,2018,1,0.9308556773928902
514,Israel,2019,1,0.9207434734166607
515,Israel,2020,1,0.9056867343855293
516,Saudi Arabia,2017,1,0.8024500929897777
517,Saudi Arabia,2018,1,0.7811422057322709
518,Saudi Arabia,2019,1,0.7849520243127668
519,Saudi Arabia,2020,0,0.7924963888938941
520,Yemen (North Yemen),2017,1,0.8570823062926688
521,Yemen (North Yemen),2018,1,0.8162797299801264
522,Yemen (North Yemen),2019,1,0.8575047175881088
523,Yemen (North Yemen),2020,1,0.8574744899907429
524,Kuwait,2017,0,0.5067946227999264
525,Kuwait,2018,0,0.39074061839882746
526,Kuwait,2019,0,0.40768780406412447
527,Kuwait,2020,0,0.3515075885269594
528,Bahrain,2017,1,0.7499202715776634
529,Bahrain,2018,0,0.6744461673439026
530,Bahrain,2019,0,0.6691329715643317
531,Bahrain,2020,0,0.5495619456473673
532,Qatar,2017,0,0.09461647528961757
533,Qatar,2018,0,0.10460002826589263
534,Qatar,2019,0,0.09534694749951468
535,Qatar,2020,0,0.11803025550433537
536,United Arab Emirates,2017,0,0.14645906343704196
537,United Arab Emirates,2018,0,0.17862195150098678
538,United Arab Emirates,2019,0,0.1383870608901123
539,United Arab Emirates,2020,0,0.14061228286135827
540,Oman,2017,0,0.055255821396432786
541,Oman,2018,0,0.07051585505026431
542,Oman,2019,0,0.08481777200850443
543,Oman,2020,0,0.09355010512919125
544,Afghanistan,2017,1,0.9042938034819996
545,Afghanistan,2018,1,0.9066655528410321
546,Afghanistan,2019,1,0.9047393203996714
547,Afghanistan,2020,1,0.900732550034794
548,Turkmenistan,2017,0,0.09623819929585903
549,Turkmenistan,2018,0,0.11462582723960896
550,Turkmenistan,2019,0,0.13755225679524533
551,Turkmenistan,2020,0,0.14571472677279843
552,Tajikistan,2017,1,0.701892998740397
553,Tajikistan,2018,1,0.6642146891075147
554,Tajikistan,2019,1,0.6696504481867595
555,Tajikistan,2020,0,0.7123743175517405
556,Kyrgyzstan,2017,1,0.5505049907721712
557,Kyrgyzstan,2018,0,0.4913333160058507
558,Kyrgyzstan,2019,0,0.4882177669118346
559,Kyrgyzstan,2020,0,0.4532362334755714
560,Uzbekistan,2017,0,0.16763803754370832
561,Uzbekistan,2018,0,0.17872960822142486
562,Uzbekistan,2019,0,0.17937186592419901
563,Uzbekistan,2020,0,0.18987012276413306
564,Kazakhstan,2017,0,0.46782661919698376
565,Kazakhstan,2018,0,0.37191046310389475
566,Kazakhstan,2019,0,0.3477049069898329
567,Kazakhstan,2020,0,0.36479578302908766
568,China,2017,1,0.8666191723229097
569,China,2018,1,0.8631413555405383
570,China,2019,0,0.827996412030498
571,China,2020,0,0.6986616859873127
572,Mongolia,2017,0,0.07788625646838959
573,Mongolia,2018,0,0.09409571081863781
574,Mongolia,2019,0,0.10409643087634202
