,country,dd,sb_fatalities,preds
580,Cambodia (Kampuchea),2022-05,0,0.0
581,Cambodia (Kampuchea),2022-06,0,0.0
582,Cambodia (Kampuchea),2022-07,0,0.0
583,Cambodia (Kampuchea),2022-08,0,0.0
584,Cambodia (Kampuchea),2022-09,0,0.0
585,Cambodia (Kampuchea),2022-10,0,0.0
586,Cambodia (Kampuchea),2022-11,0,0.0
587,Cambodia (Kampuchea),2022-12,0,0.0
588,Cambodia (Kampuchea),2023-01,0,0.0
589,Cambodia (Kampuchea),2023-02,0,0.0
590,Cambodia (Kampuchea),2023-03,0,0.0
591,Cambodia (Kampuchea),2023-04,0,0.0
592,Cambodia (Kampuchea),2023-05,0,0.0
593,Cambodia (Kampuchea),2023-06,0,0.0
594,Cambodia (Kampuchea),2023-07,0,0.0
595,Cambodia (Kampuchea),2023-08,0,0.0
596,Cambodia (Kampuchea),2023-09,0,0.0
597,Cambodia (Kampuchea),2023-10,0,0.0
598,Cambodia (Kampuchea),2023-11,0,0.0
599,Cambodia (Kampuchea),2023-12,0,0.0
600,Cameroon,2022-01,24,103.02
601,Cameroon,2022-02,9,98.66
602,Cameroon,2022-03,10,98.66
603,Cameroon,2022-04,71,181.34
604,Cameroon,2022-05,85,58.19
605,Cameroon,2022-06,39,581.96
606,Cameroon,2022-07,27,52.23
607,Cameroon,2022-08,33,668.24
608,Cameroon,2022-09,38,468.63
609,Cameroon,2022-10,18,386.3
610,Cameroon,2022-11,13,87.49
611,Cameroon,2022-12,8,95.31833333333334
612,Cameroon,2023-01,19,180.96
613,Cameroon,2023-02,9,58.23
614,Cameroon,2023-03,12,24.89
615,Cameroon,2023-04,36,99.3
616,Cameroon,2023-05,42,58.23
617,Cameroon,2023-06,48,7.12
618,Cameroon,2023-07,22,17.76
619,Cameroon,2023-08,18,24.89
620,Cameroon,2023-09,46,58.15
621,Cameroon,2023-10,28,3.45
622,Cameroon,2023-11,41,32.09
623,Cameroon,2023-12,37,99.3
624,Canada,2022-01,0,0.0
625,Canada,2022-02,0,0.0
626,Canada,2022-03,0,0.0
627,Canada,2022-04,0,0.0
628,Canada,2022-05,0,0.0
629,Canada,2022-06,0,0.0
630,Canada,2022-07,0,0.0
631,Canada,2022-08,0,0.0
632,Canada,2022-09,0,0.0
633,Canada,2022-10,0,0.0
634,Canada,2022-11,0,0.0
635,Canada,2022-12,0,0.0
636,Canada,2023-01,0,0.0
637,Canada,2023-02,0,0.0
638,Canada,2023-03,0,0.0
639,Canada,2023-04,0,0.0
640,Canada,2023-05,0,0.0
641,Canada,2023-06,0,0.0
642,Canada,2023-07,0,0.0
643,Canada,2023-08,0,0.0
644,Canada,2023-09,0,0.0
645,Canada,2023-10,0,0.0
646,Canada,2023-11,0,0.0
647,Canada,2023-12,0,0.0
648,Central African Republic,2022-01,170,9.21
649,Central African Republic,2022-02,85,17.23
650,Central African Republic,2022-03,95,31.23
651,Central African Republic,2022-04,72,31.45
652,Central African Republic,2022-05,79,38.818
653,Central African Republic,2022-06,45,44.5
654,Central African Republic,2022-07,14,164.78
655,Central African Republic,2022-08,7,43.39
656,Central African Republic,2022-09,0,442.46
657,Central African Republic,2022-10,28,67.65
658,Central African Republic,2022-11,7,67.65
659,Central African Republic,2022-12,75,0.68
660,Central African Republic,2023-01,27,107.16599999999998
661,Central African Republic,2023-02,29,20.19
662,Central African Republic,2023-03,17,63.44
663,Central African Republic,2023-04,53,95.62
664,Central African Republic,2023-05,8,16.06
665,Central African Republic,2023-06,11,56.0
666,Central African Republic,2023-07,14,16.01
667,Central African Republic,2023-08,18,86.19
668,Central African Republic,2023-09,13,31.11
669,Central African Republic,2023-10,21,33.75
670,Central African Republic,2023-11,16,34.89
671,Central African Republic,2023-12,57,153.26
672,Chad,2022-01,0,8.487376851347825
673,Chad,2022-02,9,0.0
674,Chad,2022-03,0,0.0
675,Chad,2022-04,0,0.0
676,Chad,2022-05,0,69.9
677,Chad,2022-06,0,6.18
678,Chad,2022-07,0,42.09
679,Chad,2022-08,22,0.0
680,Chad,2022-09,0,0.0
681,Chad,2022-10,0,0.0
682,Chad,2022-11,14,0.0
683,Chad,2022-12,0,0.0
684,Chad,2023-01,0,12.45
685,Chad,2023-02,0,6.0183333333333335
686,Chad,2023-03,0,20.32
687,Chad,2023-04,0,67.59
688,Chad,2023-05,1,207.48
689,Chad,2023-06,23,1.26
690,Chad,2023-07,0,1504.59
691,Chad,2023-08,2,30.22
692,Chad,2023-09,35,75.19
693,Chad,2023-10,0,15.300476190476187
694,Chad,2023-11,0,11.161
695,Chad,2023-12,0,120.52433333333333
696,Chile,2022-01,0,0.0
697,Chile,2022-02,0,0.0
698,Chile,2022-03,0,0.0
699,Chile,2022-04,0,0.0
700,Chile,2022-05,0,0.0
701,Chile,2022-06,0,0.0
702,Chile,2022-07,0,0.0
703,Chile,2022-08,0,0.0
704,Chile,2022-09,0,0.0
705,Chile,2022-10,0,0.0
706,Chile,2022-11,0,0.0
707,Chile,2022-12,0,0.0
708,Chile,2023-01,0,0.0
709,Chile,2023-02,0,0.0
710,Chile,2023-03,0,0.0
711,Chile,2023-04,0,0.0
712,Chile,2023-05,0,0.0
713,Chile,2023-06,0,0.0
714,Chile,2023-07,0,0.0
715,Chile,2023-08,0,0.0
716,Chile,2023-09,0,0.0
717,Chile,2023-10,0,0.0
718,Chile,2023-11,0,0.0
719,Chile,2023-12,0,0.0
720,China,2022-01,0,0.0
721,China,2022-02,0,0.0
722,China,2022-03,0,0.0
723,China,2022-04,0,0.0
724,China,2022-05,0,0.0
725,China,2022-06,0,0.0
726,China,2022-07,0,0.0
727,China,2022-08,0,0.0
728,China,2022-09,0,0.0
729,China,2022-10,0,0.0
730,China,2022-11,0,0.0
